,S,Sao_Paulo,Baixada_Santista,Vale_do_Paraiba,Sao_Paulo,Baixada_Santista,Vale_do_Paraiba,Sao_Paulo,Baixada_Santista,Vale_do_Paraiba,Sao_Paulo,Baixada_Santista,Vale_do_Paraiba
D,,120,130,150,120,130,150,120,130,150,120,130,150
Loja_1,100,12,22,30,12,22,30,12,22,30,12,22,30
Loja_2,140,18,24,32,18,24,32,18,24,32,18,24,32
Loja_3,160,22,15,34,22,15,34,22,15,34,22,15,34
Loja_4,100,12,22,30,12,22,30,12,22,30,12,22,30
Loja_5,140,18,24,32,18,24,32,18,24,32,18,24,32
Loja_6,160,22,15,34,22,15,34,22,15,34,22,15,34
Loja_7,100,12,22,30,12,22,30,12,22,30,12,22,30
Loja_8,140,18,24,32,18,24,32,18,24,32,18,24,32
Loja_9,160,22,15,34,22,15,34,22,15,34,22,15,34
Loja_10,100,12,22,30,12,22,30,12,22,30,12,22,30
Loja_11,140,18,24,32,18,24,32,18,24,32,18,24,32
Loja_12,160,22,15,34,22,15,34,22,15,34,22,15,34
